Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
1047683***,"VACAVILLE, CA","RUTHERFORD , NJ",7/22 @1000,"$8,200.00","10plt/ 22,008 Lb",
2066072***,"Modesto, CA","Breinigsville, PA",7/22 @1200,"$7,600.00","20plt/ 2,874lb",
759948,"Tracy, CA","Lebanon, PA",7/23 @0700,"$9,000.00","40 plts/ 18,840 Lb",
45361018***,"Modesto, CA","Carneys Point, NJ",7/20/2021 @13:00,"$8,000.00","24 pallets/ 4,227lb",
Load-430898***,"Gilroy, CA","MORRIS, IL",07/23/2021 09:00-17:,"$5,999.00",5 plts,
1047667***,"NEWARK, CA FIREBAUGH, CA","ROSEDALE, MD",7/23 @7am,"$8,200.00","26,335 Lb(16 ct)",
nan,"Sacrametno, CA",NJ,nan,"$1,600.00",2 crate,
Nadya,"Sacramento, CA","New Cunberland, PA",nan,?,10 pallets,Nadya
Rostic,"Sacramento, CA","Dallas, TX",7/23,$600.00,1 ct,Rostic
T2412657***,HAYWARD CA,KAUFMAN TX,7/21 @1330,"$5,000.00","5,617 Lb",
6649725***,"HEALDSBURG, CA","FARMERS BRANCH, TX",7/23 @0800,"$6,400.00","21 plt 41,000 Lb",
776581***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/23 @1200,"$5,500.00",26 plt / 18170 lb spices,
776598***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/23 @1200,"$5,500.00",26 plt / 18170 lb spices,
22388644***,"SACRAMENTO, CA","DENVER, CO",7/23/2021,$500.00,UBOX,
22413546***,"SACRAMENTO, CA","FORT COLLINS, CO",7/23/2021,$500.00,UBOX,
2486095***,"Visalia, CA","Salisbury, NC",7/26/2021 13:00,"$7,300.00","Pet Food : 24,306.00 lbs",
2485870***,"Visalia, CA","Elloree, SC",7/26/2021 9:00,"$7,300.00","Pet Food : 14,335.00 lbs",
45531290,SOUTH SAN  FRANCISCO CA,NORTH BRUNSWICK NJ,7/27 @0800-1430,"$10,000.00","21 pallets 19,380 lb",
49329,"Livermore, CA","Sterling, VA",7/26/2021 08:00-15:0,"$5,500.00","12 plts/ 4,000lb",
45531207***,SOUTH SAN  FRANCISCO CA,NORTH BRUNSWICK NJ,07/26/2021 8:00,"$10,200.00","21 pallets 19,380 lb",
1047726***,"GILROY, CA","CHAMBERSBURG, PA",Appt: 07/27/21 @13:0,"$8,600.00","11 plts/  23,408 lb",
45439039***,"Modesto, CA","Carneys Point, NJ",7/28 @1300,"$8,000.00","24 pallets/ 5,880lb",
779981***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/26/2021 15:00,"$5,125.00",26 plt / 18170 lb spices,Dont bill
779982//don't bill***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/27/2021 @13:00,"$5,200.00",26 plt / 18170 lb spices,don't bill
348690***,"Benicia, CA","Glen Rock, NJ",7/28 @ 8:00-4:00,"$9,700.00","22plt/ 43,500 Lb",
# 0074538***,"SPARKS, NV","WILMINGTON, MA",07/27/2021 08:00 13:,"$8,200.00","22 pallets 8,660lb",
348113***,"San Jose, CA","Glen Rock, NJ",7/28 @0900,"$9,700.00","20plt/ 43,000 lb",
T2414554***,"Hayward, CA",CLARKSBURG WV,7/29/2021 1330 - 163,"$7,200.00","12 pcs/ 5,617 Lb",
10678320***,"RANCHO CORDOVA, CA","FAIRFIELD, NJ",07/30/2021 8:00,"$8,000.00","10 CRATES 6,580 Lb",
